"","terms","count","probability"
"736","luck",22,0.00026416906820365
"737","match",22,0.00026416906820365
"738","mothers",22,0.00026416906820365
"739","moved",22,0.00026416906820365
"740","offers",22,0.00026416906820365
"741","original",22,0.00026416906820365
"742","piece",22,0.00026416906820365
"743","places",22,0.00026416906820365
"744","played",22,0.00026416906820365
"745","plenty",22,0.00026416906820365
"746","plus",22,0.00026416906820365
"747","record",22,0.00026416906820365
"748","regular",22,0.00026416906820365
"749","report",22,0.00026416906820365
"750","restaurant",22,0.00026416906820365
"751","services",22,0.00026416906820365
"752","shot",22,0.00026416906820365
"753","sports",22,0.00026416906820365
"754","success",22,0.00026416906820365
"755","sugar",22,0.00026416906820365
"756","type",22,0.00026416906820365
"757","united",22,0.00026416906820365
"758","washington",22,0.00026416906820365
"759","website",22,0.00026416906820365
"760","wow",22,0.00026416906820365
"761","blue",21,0.000252161383285303
"762","calling",21,0.000252161383285303
"763","calls",21,0.000252161383285303
"764","certainly",21,0.000252161383285303
"765","coffee",21,0.000252161383285303
"766","comment",21,0.000252161383285303
"767","committee",21,0.000252161383285303
"768","computer",21,0.000252161383285303
"769","council",21,0.000252161383285303
"770","count",21,0.000252161383285303
"771","economy",21,0.000252161383285303
"772","eight",21,0.000252161383285303
"773","giving",21,0.000252161383285303
"774","helped",21,0.000252161383285303
"775","insurance",21,0.000252161383285303
"776","listen",21,0.000252161383285303
"777","medical",21,0.000252161383285303
"778","member",21,0.000252161383285303
"779","performance",21,0.000252161383285303
"780","pizza",21,0.000252161383285303
"781","plans",21,0.000252161383285303
"782","received",21,0.000252161383285303
"783","save",21,0.000252161383285303
"784","seemed",21,0.000252161383285303
"785","setting",21,0.000252161383285303
"786","seven",21,0.000252161383285303
"787","sit",21,0.000252161383285303
"788","size",21,0.000252161383285303
"789","star",21,0.000252161383285303
"790","starts",21,0.000252161383285303
"791","store",21,0.000252161383285303
"792","total",21,0.000252161383285303
"793","war",21,0.000252161383285303
"794","weather",21,0.000252161383285303
"795","wont",21,0.000252161383285303
"796","action",20,0.000240153698366955
"797","administration",20,0.000240153698366955
"798","agency",20,0.000240153698366955
"799","bar",20,0.000240153698366955
"800","beer",20,0.000240153698366955
"801","box",20,0.000240153698366955
"802","brown",20,0.000240153698366955
"803","certain",20,0.000240153698366955
"804","character",20,0.000240153698366955
"805","characters",20,0.000240153698366955
"806","chief",20,0.000240153698366955
"807","chris",20,0.000240153698366955
"808","create",20,0.000240153698366955
"809","currently",20,0.000240153698366955
"810","dead",20,0.000240153698366955
"811","designed",20,0.000240153698366955
"812","economic",20,0.000240153698366955
"813","except",20,0.000240153698366955
"814","expected",20,0.000240153698366955
"815","famous",20,0.000240153698366955
"816","fell",20,0.000240153698366955
"817","flowers",20,0.000240153698366955
"818","gay",20,0.000240153698366955
"819","gonna",20,0.000240153698366955
"820","happen",20,0.000240153698366955
"821","havent",20,0.000240153698366955
"822","heat",20,0.000240153698366955
"823","hell",20,0.000240153698366955
"824","imagine",20,0.000240153698366955
"825","justice",20,0.000240153698366955
"826","league",20,0.000240153698366955
"827","lose",20,0.000240153698366955
"828","losing",20,0.000240153698366955
"829","lunch",20,0.000240153698366955
"830","met",20,0.000240153698366955
"831","miles",20,0.000240153698366955
"832","mine",20,0.000240153698366955
"833","opening",20,0.000240153698366955
"834","overall",20,0.000240153698366955
"835","period",20,0.000240153698366955
